,sideefect
2536,traumatic haemothorax
2537,interventional procedure
2539,cystic fibrosis gastrointestinal disease
2540,device connection issue
2542,drug clearance decreased
2543,lymphocyte count
2544,clostridial sepsis
2545,ileitis
2546,carcinogenicity
2547,cystitis klebsiella
2548,blood catecholamines increased
2549,anti-myelin-associated glycoprotein associated polyneuropathy
2550,rheumatoid vasculitis
2551,bronchoscopy normal
2552,white clot in blood present
2553,west nile virus test positive
2554,product advertising issue
2555,vaginal cuff dehiscence
2556,angiocentric lymphoma stage ii
2557,vaginal removal of intrauterine foreign body
2558,oral soft tissue disorder
2559,colony stimulating factor therapy
2560,cerebral decompression
2561,genital herpes simplex
2562,traumatic brain injury
2563,cardiopulmonary exercise test abnormal
2564,mass
2565,creatinine urine abnormal
2566,anti-glomerular basement membrane antibody positive
2567,iron binding capacity unsaturated
2568,cytomegalovirus gastrointestinal infection
2569,renal disorder
2571,hiv wasting syndrome
2572,injection site granuloma
2573,aorto-oesophageal fistula
2574,cerebrospinal fluid circulation disorder
2575,infusion site abscess
2576,influenza
2577,crush injury
2578,hypnopompic hallucination
2579,neurosyphilis
2580,skeletal dysplasia
2581,supraventricular extrasystoles
2582,subdural haemorrhage
2583,muscle contractions involuntary
2584,sinus rhythm
2585,blood lactate dehydrogenase increased
2586,nail infection
2587,nocardia sepsis
2588,anti factor x activity decreased
2589,gingival cancer
2590,vaginal cancer stage ii
2591,portal venous gas
2592,choroidal naevus
2593,ankyloglossia congenital
2594,lung adenocarcinoma stage iv
2595,bone marrow band neutrophil count increased
2596,arteriovenous graft thrombosis
2597,blood proinsulin increased
2598,drug monitoring procedure incorrectly performed
2599,mumps antibody test positive
2600,guillain-barre syndrome
2601,ischiorectal hernia
2602,salivary gland calculus removal
2603,bipolar ii disorder
2604,ventricular internal diameter
2605,secondary tic
2606,pulmonary embolism
2607,chemical burn of respiratory tract
2608,streptococcal identification test positive
2609,oedema due to cardiac disease
2610,cervicitis
2611,hyperhidrosis
2612,urine odour abnormal
2613,hemianopia heteronymous
2614,hypocalvaria
2615,endometrial cancer stage i
2616,aniseikonia
2617,intervertebral disc protrusion
2618,tongue biting
2619,cytogenetic abnormality
2620,breast operation
2621,fungal disease carrier
2622,squamous cell carcinoma of the hypopharynx
2623,glucose urine present
2624,cystic fibrosis respiratory infection suppression
2625,cholecystoenterostomy
2626,benign male reproductive tract neoplasm
2627,delirium febrile
2628,angular cheilitis
2629,visual disturbance
2630,respiratory papilloma
2631,lung infiltration
2632,strangulated hernia repair
2633,heat exhaustion
2634,mean cell volume
2635,megacolon acquired
2636,encapsulation reaction
2637,clostridium test positive
2638,heat exposure injury
2639,catheter site scar
2640,performance fear
2641,organising pneumonia
2642,vitamin k increased
2643,wart excision
2645,anisomastia
2646,uterine injury
2647,metaphyseal corner fracture
2648,hyperprolactinaemia
2649,cardiac procedure complication
2650,middle lobe syndrome
2651,microencephaly
2652,venous stasis retinopathy
2655,mood altered
2656,sputum retention
2657,retroperitoneal mass
2658,immunoglobulins increased
2659,peptostreptococcus infection
2660,neuroendocrine carcinoma
2661,drug administration monitoring procedure incorrectly performed
2662,urachal abnormality
2663,electroconvulsive therapy
2664,fascial rupture
2665,failure of implant
2666,decreased bronchial secretion
2667,colonic atony
2668,palate injury
2669,drug administration monitoring procedure not performed
2670,poliomyelitis
2671,ultrasound scan abnormal
2672,vertebral osteophyte
2673,muscle contusion
2674,non-immune heparin associated thrombocytopenia
2675,cerebral haemosiderin deposition
2676,cytomegalovirus gastrointestinal ulcer
2677,second primary malignancy
2678,premature baby death
2679,streptococcal serology
2680,joint ankylosis
2681,bladder agenesis
2682,peritoneal effluent erythrocyte count increased
2683,implant site erythema
2684,band neutrophil count increased
2685,lymphoplasmacytoid lymphoma/immunocytoma
2686,gasping syndrome
2687,acquired von willebrand^s disease
2688,occupational exposure to toxic agent
2689,meningoencephalitis bacterial
2690,melanomatous meningitis
2691,pericarditis malignant
2692,facet joint block
2693,tracheostomy
2694,disuse syndrome
2695,colorectal cancer
2696,arterectomy
2697,vasoactive intestinal polypeptide increased
2698,aortic arteriosclerosis
2699,hereditary non-polyposis colorectal cancer syndrome
2700,primary cardiac lymphoma
2701,urethritis
2702,ecg signs of myocardial infarction
2703,vomiting
2704,paroxysmal arrhythmia
2705,blood triglycerides increased
2706,vaccination complication
2707,palmar fasciitis
2708,prurigo
2709,abdominal wall disorder
2710,ulna fracture
2711,hypopnoea
2712,breast hyperplasia
2714,psychotic disorder due to a general medical condition
2715,amino acid level increased
2716,postmenopausal haemorrhage
2717,medical device site cyst
2718,leptospira test positive
2719,injection site vesicles
2720,burnout syndrome
2721,facial dysmorphism
2722,convulsive threshold lowered
2723,systemic lupus erythematosus disease activity index abnormal
2724,device power source issue
2725,fat atrophy
2726,adrenal gland tuberculosis
2727,oesophagitis
2728,iron deficiency
2729,haemoglobin distribution width increased
2730,urine cannabinoids increased
2731,cytology abnormal
2732,erythroblast count increased
2733,neonatal respiratory depression
2734,pica
2735,urine leukocyte esterase positive
2736,blood pressure normal
2737,precerebral artery thrombosis
2738,peritoneal dialysis
2739,post laminectomy syndrome
2740,hepcidin decreased
2741,hepatic cirrhosis
2742,lupus vasculitis
2743,documented hypersensitivity to administered product
2744,hypothalamo-pituitary disorder
2746,red cell distribution width decreased
2747,influenza virus test positive
2748,corneal reflex decreased
2750,costovertebral angle tenderness
2751,retroviral infection
2752,bacillary angiomatosis
2754,echovirus serology test positive
2755,flight of ideas
2756,reversal of opiate activity
2757,cystosarcoma phyllodes
2758,motor neurone disease
2759,medical device site nerve damage
2760,medical procedure
2761,forced expiratory flow decreased
2762,ligament injury
2763,retinitis histoplasma
2764,vitamin b6 deficiency
2765,peritonsillitis
2766,mitochondrial encephalomyopathy
2767,encopresis
2768,lichenification
2769,intestine transplant rejection
2770,broad ligament tear
2771,intestinal resection
2772,mastocytosis
2773,temperature difference of extremities
2774,gastric disorder
2775,mycobacterium test
2776,type 1 diabetes mellitus
2778,product deposit
2779,reading rehabilitation
2780,eyelid ptosis congenital
2781,mycobacteria tissue specimen test positive
2782,normal newborn
2783,fingerprint loss
2784,triple a syndrome
2785,pasteurella infection
2786,cystatin c
2787,incarcerated umbilical hernia
2788,burning mouth syndrome
2789,periorbital contusion
2790,orbital apex syndrome
2791,vascular test abnormal
2792,b-cell type acute leukaemia
2793,haemodialysis
2795,transfusion-related acute lung injury
2796,lipase
2797,thyroid cancer
2798,blue toe syndrome
2799,splenic varices haemorrhage
2800,oxygen supplementation
2801,multiple congenital abnormalities
2802,finger amputation
2804,transposition of the great vessels
2805,cartilage-hair hypoplasia
2806,product packaging quantity issue
2807,follicular mucinosis
2808,cystogram
2809,nerve stimulation test abnormal
2810,product label counterfeit
2811,cerebral artery perforation
2812,tongue neoplasm
2813,erosive oesophagitis
2814,bacterial rhinitis
2815,ovulation disorder
2816,cerebral microangiopathy
2817,paranasal biopsy abnormal
2818,dyspnoea at rest
2820,oxygen saturation immeasurable
2821,urethral pain
2822,testicular yolk sac tumour stage ii
2823,eosinophil count normal
2824,benign tracheal neoplasm
2825,tuberculin test false negative
2826,nail toxicity
2827,scab
2828,immune recovery uveitis
2829,chronic graft versus host disease in skin
2830,breast milk substitute intolerance
2831,csf immunoglobulin decreased
2832,device infusion issue
2833,neutropenia neonatal
2834,vascular stenosis
2835,alcoholic hangover
2836,skin squamous cell carcinoma surgery
2837,homocysteine urine present
2838,prostration
2839,scar
2840,congenital skin dimples
2841,gastrointestinal amyloidosis
2842,coloboma
2843,device stimulation issue
2844,pregnancy test false positive
2845,sports injury
2846,mixed venous blood saturation decreased
2848,oestrogenic effect
2849,biopsy uterus
2850,blood iron decreased
2851,complement factor c4
2852,opisthotonus
2853,umbilical hernia perforation
2854,orchidopexy
2855,haemorrhagic ascites
2856,blood 25-hydroxycholecalciferol
2857,ulcerative gastritis
2858,gastrointestinal toxicity
2859,anastomotic ulcer haemorrhage
2860,sweating fever
2861,secondary cerebellar degeneration
2862,kaolin cephalin clotting time shortened
2863,calcium intoxication
2864,mastoid operation
2865,optic disc hyperaemia
2866,plasma viscosity abnormal
2867,pyostomatitis vegetans
2868,platelet dysfunction
2869,enterovirus serology test positive
2870,jejunostomy closure
2871,superinfection bacterial
2872,congenital gastric anomaly
2873,tendon transfer
2874,dermatofibrosarcoma
2875,tracheal calcification
2876,volume blood decreased
2877,vestibular ataxia
2878,alcohol induced persisting dementia
2879,vaginal cancer
2880,extracorporeal shock wave therapy
2881,feelings of worthlessness
2882,heart rate increased
2883,hepatitis c virus test
2884,necrobiosis
2885,epididymectomy
2886,renal osteodystrophy
2887,t-cell unclassifiable lymphoma high grade
2888,skin ulcer
2889,incorrect dose administered by product
2890,implant obstruction
2891,peritonitis
2892,nodule on extremity
2893,bradycardia neonatal
2895,lagophthalmos
2896,injection site pain
2897,stomach lesion excision
2898,ileus paralytic
2899,eye infection toxoplasmal
2900,pulmonary toxicity
2901,retroperitoneal lymphadenopathy
2903,surgical vascular shunt
2904,tongue eruption
2905,neutrophil pelger-huet anomaly present
2906,malignant polyp
2907,bone marrow plasmacyte count increased
2908,flank pain
2909,marginal zone lymphoma
2910,atrophic vulvovaginitis
2911,frequent bowel movements
2912,cardiac stress test
2913,creatine phosphokinase decreased
2914,dermatofibrosarcoma protuberans
2915,immunisation
2916,hypochromic anaemia
2917,pericardial cyst
2918,xyphoid retraction
2919,intrapartum haemorrhage
2920,nephritis
2921,strangulated umbilical hernia
2922,corneal scar
2923,breath alcohol test positive
2924,tympanic membrane scarring
2925,peripheral artery dissection
2926,normetanephrine urine increased
2927,areflexia
2929,progressive muscular atrophy
2930,interruption of aortic arch
2931,hepatitis b e antigen
2932,transfusion reaction
2933,proctalgia fugax
2934,abdominal wall haemorrhage
2935,blood prolactin
2936,marital problem
2937,occupational exposure to radiation
2938,rhinalgia
2939,ovarian calcification
2940,apolipoprotein abnormal
2941,mixed salivary tumour
2942,hysterectomy
2943,dermatillomania
2944,nosocomial infection
2945,parathyroid tumour
2946,coprolalia
2947,prostatic mass
2948,pulmonary vein occlusion
2949,foetal heart rate acceleration abnormality
2950,paraplegia
2951,tendon operation
2952,ganglioneuroma
2953,magical thinking
2954,hypocarnitinaemia
2955,tooth impacted
2956,mental status changes postoperative
2957,pylorospasm
2958,desmoplastic mesothelioma
2959,incision site swelling
2960,metastases to uterus
2961,full blood count abnormal
2963,genital infection male
2964,paradoxical embolism
2965,mitral valve stenosis
2966,papillary renal cell carcinoma
2967,neonatal diabetes mellitus
2968,oculogyric crisis
2969,testicular malignant teratoma stage i
2970,myopathy steroid
2971,postpartum venous thrombosis
2972,angiogram peripheral abnormal
2973,blast cells absent
2974,anoxic encephalopathy
2975,voluntary redundancy
2977,blood bilirubin unconjugated increased
2978,endocarditis fibroplastica
2979,pituitary enlargement
2980,brain neoplasm malignant
2981,kidney transplant rejection
2982,biopsy heart
2983,alpha-2 macroglobulin increased
2984,citric acid urine increased
2985,carbon dioxide
2987,sapho syndrome
2988,bone development abnormal
2989,isoimmunisation
2990,cortisol free urine increased
2991,lung carcinoma cell type unspecified stage i
2992,nonkeratinising carcinoma of nasopharynx
2993,coombs direct test negative
2994,gingival cyst
2995,reticulocyte percentage decreased
2996,application site purpura
2997,pericarditis infective
2998,pharyngolaryngeal discomfort
2999,intestinal adhesion lysis
3000,ovarian granulosa-theca cell tumour
3001,oculorespiratory syndrome
3002,plasmacytoma
3003,urinary lipids present
3004,blood creatine phosphokinase mb
3006,diverticulum
3007,spinal pain
3008,tumour ulceration
3009,thecal sac compression
3010,acute graft versus host disease in liver
3011,serum procollagen type i n-terminal propeptide increased
3012,accessory cardiac pathway
3013,craniopharyngioma benign
3014,popliteal pulse increased
3015,ataxia telangiectasia
3016,tendon neoplasm
3017,conjunctival cyst
3018,retinopathy proliferative
3019,labour onset delayed
3020,benign ear neoplasm
3021,application site dermatitis
3022,post transplant lymphoproliferative disorder
3023,salivary gland neoplasm
3024,auriculotemporal syndrome
3025,mean cell haemoglobin concentration increased
3026,blood albumin increased
3027,left ventricular diastolic collapse
3028,tongue necrosis
3029,percutaneous coronary intervention
3030,wrong schedule
3031,tonsillar haemorrhage
3032,housebound
3033,vogt-koyanagi-harada syndrome
3034,prescribed overdose
3035,ocular fistula
3036,sciatic nerve injury
3037,cervix dystocia
3038,transfer factor reduced
3039,eye operation complication
3040,onychomadesis
3041,protein induced by vitamin k absence or antagonist ii
3042,refractory anaemia with excess blasts in transformation
3043,increased bronchial secretion
3044,precancerous skin lesion
3045,brain compression
3046,percussion test
3047,distributive shock
3048,alpha 1 foetoprotein amniotic fluid abnormal
3049,application site perspiration
3050,retrograde portal vein flow
3051,blood phosphorus
3052,structural valve deterioration
3053,postinfarction angina
3054,phaeohyphomycotic brain abscess
3056,electrocardiogram t wave amplitude increased
3057,pyelonephritis
3058,cytotoxic oedema
3059,implant site extravasation
3060,skin cancer metastatic
3061,pseudohypoparathyroidism
3062,polymyalgia rheumatica
3063,pectus carinatum
3064,genital herpes
3065,cataract congenital
3066,culture stool
3067,talipes correction
3068,blood methaemoglobin
3069,diffuse large b-cell lymphoma recurrent
3070,angiolymphoid hyperplasia with eosinophilia
3071,enterococcal infection
3072,unwanted pregnancy
3073,infusion site haematoma
3074,drug provocation test
3075,ovarian lesion excision
3076,angiotensin converting enzyme decreased
3077,gastric ulcer
3078,aphonia psychogenic
3080,product leakage
3081,incorrect dosage administered
3082,herpes simplex oesophagitis
3083,bedridden
3084,device dispensing error
3085,retroperitoneal neoplasm
3086,semen viscosity abnormal
3087,leukoerythroblastosis
3088,urine uric acid decreased
3089,oral mucosal exfoliation
3090,palpable purpura
3091,venom poisoning
3092,philadelphia chromosome negative
3093,forearm fracture
3094,product barcode issue
3095,spinal cord infarction
3096,medical device site injury
3097,device intolerance
3098,periorbital fat herniation
3099,anorectal infection
3100,hepatic artery embolism
3101,de lange^s syndrome
3102,intestinal haematoma
3103,cardio-respiratory arrest neonatal
3104,corynebacterium infection
3105,high risk pregnancy
3106,cerebral aneurysm perforation
3107,duodenal scarring
3108,binge eating
3109,human epidermal growth factor receptor decreased
3110,exostosis of external ear canal
3111,thyroid gland injury
3112,tenodesis
3113,delayed dark adaptation
3114,arthrodesis
3115,orbital compartment syndrome
3116,neuropathy peripheral
3117,urine colour abnormal
3118,corneal touch
3119,neonatal alloimmune thrombocytopenia
3120,non-compaction cardiomyopathy
3121,neurological infection
3122,nonreassuring foetal heart rate pattern
3123,urinary anastomotic leak
3124,injection site joint movement impairment
3125,silent sinus syndrome
3126,biopsy liver
3127,cellulitis gangrenous
3128,mucoepidermoid carcinoma
3129,imaging procedure abnormal
3130,amniotic membrane rupture test positive
3131,naevus flammeus
3132,noninfective epididymitis
3133,electrocardiogram rr interval prolonged
3134,expanded disability status scale
3135,chlamydial cervicitis
3136,atrial flutter
3137,neonatal pneumonia
3138,skin dystrophy
3139,papillary serous endometrial carcinoma
3142,cranial nerve infection
3143,brachial plexus injury
3144,rib deformity
3145,constricted affect
3146,spinal meningioma benign
3147,ocular pemphigoid
3149,autoantibody test
3150,dental pulp disorder
3151,schistosoma test positive
3152,papilloedema
3153,mucosal inflammation
3154,white blood cells urine
3155,phlebectomy
3156,victim of sexual abuse
3157,diabetes mellitus inadequate control
3159,hepatitis alcoholic
3160,sensation of foreign body
3161,thermometry abnormal
3162,coagulation factor vii level increased
3163,malignant ovarian cyst
3164,isolated adrenocorticotropic hormone deficiency
3165,internal fixation of spine
3166,congenital vaginal cyst
3167,electrocardiogram change
3168,analgesic drug level
3169,foraminotomy
3170,subcutaneous drug absorption impaired
3171,andropause
3172,hyphaema
3173,gastrointestinal disorder
3174,paranasal sinus hypersecretion
3175,arthritis salmonella
3176,foetal disorder
3177,lymphangiectasia intestinal congenital
3178,bone callus excessive
3179,neuroendocrine carcinoma metastatic
3180,sphenopalatine neuralgia
3181,suppressed lactation
3182,retinal exudates
3183,cerebral haemorrhage neonatal
3184,long-chain acyl-coenzyme a dehydrogenase deficiency
3185,herpangina
3186,anal neoplasm
3187,labour complication
3188,csf virus identified
3189,ovarian fibroma
3190,hepatic enzyme increased
3191,dementia of the alzheimer's type
3192,human herpes virus 6 serology positive
3193,meningeomas surgery
3194,hyperprolinaemia
3195,high-pitched crying
3196,pregnancy with contraceptive patch
3197,congenital musculoskeletal anomaly
3198,hepatitis toxic
3199,rectocele repair
3200,lipomatous hypertrophy of the interatrial septum
3201,administration site infection
3202,angiopathy
3203,pierre robin syndrome
3204,allergic bronchitis
3205,post stroke depression
3206,csf immunoglobulin increased
3207,red blood cell morphology
3208,congenital anomaly
3209,sluggishness
3210,metamyelocyte percentage increased
3211,viral myocarditis
3212,proteus infection
3214,nasal adhesions
3215,pelvic exenteration
3216,upper-airway cough syndrome
3217,red reflex abnormal
3218,cholecystitis infective
3219,labour pain
3220,cerebral microhaemorrhage
3221,corneal decompensation
3222,creatine urine decreased
3223,asymmetric gluteal fold
3224,immunosuppressant drug level
3225,diastema
3226,globulinuria
3227,coma scale
3228,self esteem decreased
3229,gastroenteritis aeromonas
3230,cerebral circulatory failure
3231,erythema migrans
3232,antibiotic therapy
3233,intercepted product preparation error
3234,pneumonia pneumococcal
3235,nail candida
3236,drug tolerance increased
3237,body temperature increased
3238,speech disorder
3239,condom
3240,age indeterminate myocardial infarction
3241,dental alveolar anomaly
3242,meniscus injury
3243,blood immunoglobulin e increased
3244,glaucomatous optic disc atrophy
3245,biopsy trachea
3246,limbal stem cell deficiency
3247,laryngeal mass
3248,renal venous congestion
3249,smear cervix normal
3250,infantile genetic agranulocytosis
3251,lung carcinoma cell type unspecified stage 0
3252,intestinal gastric metaplasia
3253,gastroenteritis helicobacter
3254,veillonella test positive
3255,lip pain
3256,prostatectomy
3257,thyroid cancer metastatic
3258,injection site ischaemia
3259,metal poisoning
3260,psychogenic seizure
3261,corneal staining
3262,lymphadenitis fungal
3263,frontal sinus operation
3264,haemorrhagic arteriovenous malformation
3265,henoch-schonlein purpura nephritis
3266,chest x-ray normal
3267,bacteria tissue specimen identified
3268,poor dental condition
3269,thyroglobulin increased
3270,ependymoma benign
3271,congenital oral malformation
3272,gastric cyst
3273,acute cutaneous lupus erythematosus
3274,nuclear magnetic resonance imaging spinal abnormal
3275,spondylolisthesis acquired
3276,retinopathy haemorrhagic
3277,vulvovaginal pruritus
3278,goitre
3279,tuberculosis of peripheral lymph nodes
3280,sebaceous gland disorder
3281,abdominal fat apron
3282,cytomegalovirus enterocolitis
3283,postoperative adhesion
3284,mucormycosis
3285,perineal cellulitis
3286,uveitis
3287,endoscopy gastrointestinal
3288,septic phlebitis
3289,pseudo lymphoma
3290,ph urine decreased
3291,hepatic cancer stage i
3292,epiglottic erythema
3293,tongue abscess
3294,vascular graft thrombosis
3295,acute tonsillitis
3297,gallbladder volvulus
3298,brucella test positive
3299,arteriovenous graft site haematoma
3300,pancreatic carcinoma recurrent
3301,serum ferritin normal
3302,aerophobia
3303,death of companion
3304,braf v600e mutation positive
3305,mucosal pigmentation
3306,postpartum depression
3307,peripartum haemorrhage
3309,head injury
3310,hyperchylomicronaemia
3311,gastrointestinal arteriovenous malformation
3312,blood chloride abnormal
3313,pseudoangina
3314,valvuloplasty cardiac
3315,metastases to nasal sinuses
3316,egocentrism
3317,cellulitis staphylococcal
3318,bence jones protein urine
3319,trichomoniasis
3320,acute stress disorder
3321,anxiolytic therapy
3322,uterine infection
3323,tendon calcification
3324,tuberculosis of central nervous system
3325,c-kit gene mutation
3326,hernia congenital
3327,fear of open spaces
3328,calculus prostatic
3329,tricuspid valve stenosis
3330,pneumonia parainfluenzae viral
3331,necrolytic migratory erythema
3332,metastases to gastrointestinal tract
3333,intestinal obstruction
3334,red blood cells urine
3336,stomach dilation procedure
3337,charles bonnet syndrome
3338,mucosal roughness
3339,metastases to abdominal cavity
3340,colorectal cancer recurrent
3341,keratitis herpetic
3342,electrocardiogram
3343,language disorder
3344,fistulogram
3345,inflammation scan
3346,arteriovenous fistula thrombosis
3347,transvalvular pressure gradient
3348,accessory liver lobe
3349,spastic paraplegia
3350,chronic lymphocytic leukaemia
3351,spermatic cord inflammation
3352,live birth
3353,bacterial toxaemia
3354,congenital hepatomegaly
3356,vascular procedure complication
3357,drug withdrawal convulsions
3358,anorectal varices haemorrhage
3359,renal ischaemia
3360,depersonalisation
3361,conus medullaris syndrome
3362,corneal light reflex test abnormal
3363,vaginal cyst
3364,large cell lung cancer stage ii
3365,lack of application site rotation
3366,chlamydia test
3367,oral viral infection
3368,whiplash injury
3369,inflammation masked
3370,asthma late onset
3371,large intestine fibroma
3372,gastrointestinal wall abnormal
3373,chronic sinusitis
3374,renal transplant torsion
3375,fractional excretion of phosphate
3376,antithrombin iii
3377,squamous cell carcinoma of the tongue
3378,human herpesvirus 6 infection
3379,high frequency ablation
3381,contact lens complication
3382,laryngeal cancer metastatic
3383,pancreastatin increased
3384,large cell lung cancer stage iv
3385,salt craving
3386,hydrogen breath test abnormal
3387,palindromic rheumatism
3388,device operational issue
3389,alanine aminotransferase
3390,labelled drug-food interaction medication error
3391,haemoglobin increased
3392,instillation site reaction
3393,pacing threshold decreased
3394,breast conserving surgery
3395,pulmonary granuloma
3396,tendon sheath lesion excision
3397,mastitis bacterial
3399,forced expiratory volume abnormal
3400,sensory loss
3401,choledochectomy
3402,end stage aids
3403,feeling guilty
3404,myositis
3405,oropharyngeal surgery
3406,uterine dilation and evacuation
3407,rheumatic heart disease
3408,vibration test abnormal
3409,injection site nerve damage
3410,gastro-intestinal fistula
3411,sleep phase rhythm disturbance
3412,porphyria screen
3413,thinking abnormal
3414,gastrointestinal fungal infection
3415,gastric lavage
3416,carbon monoxide diffusing capacity
3417,central pain syndrome
3418,malignant connective tissue neoplasm
3419,administration site extravasation
3420,cytarabine syndrome
3421,toxic anterior segment syndrome
3422,vocal cord disorder
3423,csf volume increased
3424,malignant fibrous histiocytoma recurrent
3425,antipyresis
3426,epileptic aura
3427,biopsy prostate abnormal
3428,septic arthritis streptobacillus
3429,aortic bruit
3430,haemosiderin stain
3431,aspiration bone marrow
3432,ergot poisoning
3433,adrenal mass
3434,testicular seminoma (pure)
3435,alpha 1 globulin decreased
3436,nail pitting
3437,cystinosis
3438,instillation site hypersensitivity
3439,basal ganglia haematoma
3440,human rhinovirus test positive
3441,amniotic band syndrome
3442,pseudopolyposis
3443,blood galactose increased
3444,agitation
3445,nicotinamide decreased
3446,histology abnormal
3447,nail bed disorder
3448,catheter site hypersensitivity
3449,maternal exposure during pregnancy
3450,periorbital oedema
3451,anal squamous cell carcinoma
3452,legionella infection
3453,bronchial dysplasia
3454,therapeutic product effective for unapproved indication
3455,small intestine carcinoma stage iii
3456,parakeratosis
3457,beta globulin decreased
3458,acardia
3459,malignant neoplasm of renal pelvis
3460,vitreous detachment
3461,lymphangioma
3462,acoustic neuroma removal
3463,drug abuse
3464,laryngeal cyst
3465,vitamin b12 increased
3466,intestinal transit time decreased
3467,malignant neoplasm of orbit
3468,sickle cell anaemia with crisis
3469,hepatitis c test negative
3470,hypotrichosis
3471,autoimmune neuropathy
3472,arachnodactyly
3473,excessive eye blinking
3474,extramammary paget's disease
3475,gonadal dysgenesis
3476,normal tension glaucoma
3477,hiv associated nephropathy
3479,chest wall operation
3480,aspergillus infection
3481,cervicitis gonococcal
3482,gingival abscess
3483,fracture of clavicle due to birth trauma
3484,genital abscess
3485,white blood cell count increased
3486,pubic pain
3487,renal arteritis
3488,deformity
3489,arteriovenous graft aneurysm
3490,stoma site polyp
3491,acetabulum fracture
3492,superinfection
3493,synovectomy
3494,aseptic necrosis bone
3495,haematoma infection
3496,fibrin d dimer decreased
3497,neutrophil percentage increased
3498,mental disorder due to a general medical condition
3499,gram stain positive
3500,varicella virus test
3501,eye symptom
3502,female sexual arousal disorder
3503,infertility
3504,hiv infection cdc group iv subgroup a
3505,vibrio vulnificus infection
3506,fascial hernia
3507,allergic gastroenteritis
3508,dialysis amyloidosis
3509,animal scratch
3510,adrenal thrombosis
3511,food refusal
3512,diabetic mastopathy
3513,coagulation factor viii level abnormal
3514,anticonvulsant toxicity
3515,meningioma malignant
3516,parvovirus b19 infection
3517,environmental exposure
3518,histiocytosis haematophagic
3519,testicular necrosis
3520,debridement
3521,intestinal operation
3522,pancreatic duct obstruction
3523,foetal haemoglobin
3524,arthritis climacteric
3525,injection site vasculitis
3526,pneumococcal bacteraemia
3527,colour blindness acquired
3528,school refusal
3529,herpes oesophagitis
3530,oral fibroma
3531,cardiovascular insufficiency
3532,b-cell lymphoma refractory
3533,injury of conjunctiva
3534,urobilinogen urine increased
3535,klebsiella bacteraemia
3536,rebound nasal congestion
3537,sense of a foreshortened future
3538,arteritis
3539,pelvic laparoscopy
3540,nerve stimulation test
3541,diabetes complicating pregnancy
3542,nail operation
3543,dysaesthesia pharynx
3544,splenectomy
3545,dissociation
3546,cockroach allergy
3547,mitral valve hypoplasia
3548,bacterial food poisoning
3549,tongue coated
3550,metastatic salivary gland cancer
3551,postoperative ileus
3552,acute hepatic failure
3553,adenolymphoma
3554,urine sodium normal
3555,high density lipoprotein increased
3556,crying
3557,exposure to noise
3558,portal vein thrombosis
3559,vulvovaginal ulceration
3560,bile duct necrosis
3561,stiff person syndrome
3562,benign colonic neoplasm
3563,renal malposition
3564,eyelid tumour
3565,paranasal sinus injury
3566,postictal state
3567,lupus pleurisy
3568,myasthenic syndrome
3569,product contamination microbial
3570,spleen tuberculosis
3571,cerebral arteritis
3572,gastric ulcer helicobacter
3573,paracentesis
3574,emetophobia
3575,hair growth rate abnormal
3576,n-telopeptide urine abnormal
3577,oral mucosal discolouration
3578,temperature perception test decreased
3579,drug rash with eosinophilia and systemic symptoms
3580,monocyte chemotactic protein-1 increased
3581,fiducial marker placement
3582, nose and throat examination normal
3583,hepatic embolisation
3584,blood creatinine abnormal
3585,enterobacter infection
3586,trismus
3587,maxillonasal dysplasia
3588,nasal septum ulceration
3589,application site ischaemia
3590,photopsia
3591,rectal cancer stage 0
3592,heart sounds abnormal
3593,vessel puncture site haemorrhage
3594,ureteric haemorrhage
3595,blood aluminium abnormal
3596,pyelotomy
3597,urine protein
3598,hyperpathia
3599,injection site abscess sterile
3600,sleep disorder due to general medical condition
3601,meningitis borrelia
3602,glomerular filtration rate
3603,acquired epiblepharon
3604,blood homocysteine abnormal
3605,tracheostomy tube removal
3606,acute myocardial infarction
3607,postpartum hypopituitarism
3608,physical testicle examination abnormal
3609,excessive skin
3610,radiolucency around implant
3611,necrotising gastritis
3612,vessel puncture site paraesthesia
3613,tumour budding
3614,hairy cell leukaemia recurrent
3615,disinhibited social engagement disorder of childhood
3616,small intestine operation
3617,corneal transplant
3618,electroencephalogram
3619,tooth infection
3620,biopsy tongue
3621,hypermagnesaemia
3622,bone erosion
3623,meningitis cryptococcal
3624,anal fissure haemorrhage
3625,ballismus
3626,red blood cell agglutination present
3627,bile output abnormal
3628,ovarian agenesis
3629,hepatic necrosis
3630,buttock injury
3631,jaundice cholestatic
3632,cellulitis laryngeal
3633,intestinal strangulation
3634,nicotinic acid deficiency
3635,bordetella test positive
3636,tractional retinal detachment
3637,post lumbar puncture syndrome
3638,psychogenic movement disorder
3639,fallopian tube cyst
3640,application site hypersensitivity
3641,orthopedic examination
3642,peritoneal effluent leukocyte count
3643,genital disorder male
3644,stoma site candida
3645,primary mediastinal large b-cell lymphoma recurrent
3646,complement factor c1 decreased
3647,renal papillary necrosis
3648,leukaemic cardiac infiltration
3649,tonsillolith
3650,varicocele
3651,coronary endarterectomy
3652,gingival ulceration
3653,presbyastasis
3654,autoimmune nephritis
3655,viral tracheitis
3656,ulcerated haemangioma
3657,anaplastic lymphoma kinase gene mutation
3658, residual type
3659,gender reassignment therapy
3660,polytraumatism
3661,rectal obstruction
